Timestamp,Open,High,Low,Close,Volume
28/02/2025 19:59,396.3,396.78,396.3,396.3,686
28/02/2025 19:58,396.75,396.78,396.3,396.3,1245
28/02/2025 19:57,396.645,396.78,396.51,396.78,16
28/02/2025 19:56,396.71,396.79,396.5101,396.645,393
28/02/2025 19:55,396.645,396.7888,396.5999,396.645,54
28/02/2025 19:54,396.6,396.68,396.5,396.645,229
28/02/2025 19:53,396.61,396.75,396.51,396.51,23
28/02/2025 19:52,396.6,396.79,396.6,396.61,217
28/02/2025 19:51,396.6,396.8,396.503,396.65,377
28/02/2025 19:50,396.65,396.8,396.6,396.6,28
28/02/2025 19:49,396.65,396.8,396.6,396.6,60
28/02/2025 19:48,396.75,396.75,396.5,396.75,89
28/02/2025 19:47,396.75,396.81,396.66,396.78,27
28/02/2025 19:46,396.83,396.83,396.5,396.75,20
28/02/2025 19:45,396.8,396.83,396.5082,396.83,122
28/02/2025 19:44,396.67,396.83,396.5082,396.67,23
28/02/2025 19:43,396.67,396.83,396.6132,396.83,59
28/02/2025 19:42,396.62,396.83,396.62,396.67,76
28/02/2025 19:41,396.77,396.83,396.6,396.6,186
28/02/2025 19:40,396.665,396.83,396.665,396.67,61
28/02/2025 19:39,396.75,396.8,396.5082,396.7,195
28/02/2025 19:38,396.82,396.82,396.61,396.79,30
28/02/2025 19:37,396.83,396.83,396.5,396.6,27
28/02/2025 19:36,396.71,396.83,396.5082,396.665,52
28/02/2025 19:35,396.5141,396.8988,396.5,396.83,184
28/02/2025 19:34,396.68,396.8499,396.5024,396.8499,349
28/02/2025 19:33,396.675,396.85,396.5,396.5,55
28/02/2025 19:32,396.675,396.85,396.5,396.675,88
28/02/2025 19:31,396.65,396.68,396.5,396.675,26
28/02/2025 19:30,396.7,396.85,396.5,396.58,14
28/02/2025 19:29,396.3,396.59,396.3,396.5,47
28/02/2025 19:28,396.5,396.55,396.5,396.55,19
28/02/2025 19:27,396.64,396.64,396.3312,396.5,2043
28/02/2025 19:26,396.675,396.7,396.615,396.65,29
28/02/2025 19:25,396.8,396.8413,396.67,396.675,44
28/02/2025 19:24,396.67,396.8,396.5,396.6767,164
28/02/2025 19:23,396.5101,396.72,396.51,396.69,169
28/02/2025 19:22,396.67,396.85,396.5101,396.7,25
28/02/2025 19:21,396.68,396.85,396.51,396.51,21
28/02/2025 19:20,396.78,396.78,396.53,396.69,22
28/02/2025 19:19,396.78,396.9188,396.53,396.9,83
28/02/2025 19:18,396.72,396.9,396.72,396.72,244
28/02/2025 19:17,396.71,396.92,396.71,396.78,65
28/02/2025 19:16,396.76,396.9,396.71,396.78,228
28/02/2025 19:15,396.64,396.7,396.5,396.7,3
28/02/2025 19:14,396.65,396.78,396.64,396.78,9
28/02/2025 19:13,396.65,396.78,396.5302,396.78,255
28/02/2025 19:12,396.64,396.77,396.507,396.77,113
28/02/2025 19:11,396.75,396.75,396.64,396.64,4
28/02/2025 19:10,396.6,396.76,396.6,396.64,296
28/02/2025 19:09,396.7,396.773,396.64,396.64,149
28/02/2025 19:08,396.64,396.78,396.6,396.64,54
28/02/2025 19:07,396.78,396.78,396.5,396.65,11
28/02/2025 19:06,396.5,396.78,396.5,396.64,13
28/02/2025 19:05,396.65,396.78,396.526,396.64,56
28/02/2025 19:04,396.5,396.78,396.5,396.64,130
28/02/2025 19:03,396.74,396.75,396.5349,396.75,116
28/02/2025 19:02,396.7,396.78,396.64,396.64,240
28/02/2025 19:01,396.52,396.68,396.52,396.65,57
28/02/2025 19:00,396.69,396.78,396.5,396.6,29
28/02/2025 18:59,396.73,396.78,396.6,396.6,29
28/02/2025 18:58,396.69,396.78,396.5,396.65,74
28/02/2025 18:57,396.6045,396.7788,396.6045,396.65,15
28/02/2025 18:56,396.7,396.7,396.6,396.7,14
28/02/2025 18:55,396.78,396.78,396.65,396.7735,241
28/02/2025 18:54,396.715,396.78,396.7,396.7,117
28/02/2025 18:53,396.72,396.78,396.7,396.715,8
28/02/2025 18:52,396.7,396.78,396.7,396.78,21
28/02/2025 18:51,396.7,396.7,396.69,396.7,114
28/02/2025 18:50,396.78,396.78,396.6501,396.6501,382
28/02/2025 18:49,396.773,396.773,396.507,396.6,447
28/02/2025 18:48,396.64,396.78,396.5,396.52,14
28/02/2025 18:47,396.7,396.7,396.5068,396.52,545
28/02/2025 18:46,396.6,396.7,396.6,396.69,40
28/02/2025 18:45,396.69,396.69,396.65,396.65,13
28/02/2025 18:44,396.6,396.74,396.6,396.65,71
28/02/2025 18:43,396.69,396.69,396.6,396.6,11
28/02/2025 18:42,396.69,396.7,396.6,396.69,105
28/02/2025 18:41,396.69,396.78,396.69,396.78,21
28/02/2025 18:40,396.6,396.78,396.6,396.75,218
28/02/2025 18:39,396.7,396.78,396.6,396.6008,54
28/02/2025 18:38,396.66,396.78,396.5026,396.78,1287
28/02/2025 18:37,396.65,396.66,396.6,396.66,20
28/02/2025 18:36,396.66,396.7,396.6,396.605,25
28/02/2025 18:35,396.66,396.66,396.5,396.65,37
28/02/2025 18:34,396.6,396.6,396.5,396.58,32
28/02/2025 18:33,396.68,396.7,396.5,396.66,413
28/02/2025 18:32,396.64,396.64,396.59,396.59,3
28/02/2025 18:31,396.6,396.78,396.5,396.64,212
28/02/2025 18:30,396.63,396.705,396.58,396.58,957
28/02/2025 18:29,396.705,396.78,396.63,396.7,11
28/02/2025 18:28,396.7,396.7,396.63,396.69,42
28/02/2025 18:27,396.7,396.7,396.63,396.6301,9
28/02/2025 18:26,396.778,396.78,396.63,396.705,1857
28/02/2025 18:25,396.74,396.78,396.7,396.74,27
28/02/2025 18:24,396.7001,396.74,396.7,396.74,82
28/02/2025 18:23,396.725,396.78,396.71,396.78,249
28/02/2025 18:22,396.68,396.75,396.6312,396.75,745
28/02/2025 18:21,396.705,396.78,396.69,396.75,357
28/02/2025 18:20,396.78,396.78,396.63,396.77,263
