date,open,high,low,close,volume
28/02/2025 19:55,396.645,396.79,396.3,396.3,2394
28/02/2025 19:50,396.65,396.8,396.5,396.645,874
28/02/2025 19:45,396.8,396.83,396.5,396.6,318
28/02/2025 19:40,396.665,396.83,396.5082,396.67,405
28/02/2025 19:35,396.5141,396.8988,396.5,396.7,488
28/02/2025 19:30,396.7,396.85,396.5,396.8499,532
28/02/2025 19:25,396.8,396.8413,396.3,396.5,2182
28/02/2025 19:20,396.78,396.85,396.5,396.6767,401
28/02/2025 19:15,396.64,396.92,396.5,396.9,623
28/02/2025 19:10,396.6,396.78,396.507,396.78,677
28/02/2025 19:05,396.65,396.78,396.5,396.64,283
28/02/2025 19:00,396.69,396.78,396.5,396.64,572
28/02/2025 18:55,396.78,396.78,396.5,396.6,373
28/02/2025 18:50,396.78,396.78,396.6501,396.7,642
28/02/2025 18:45,396.69,396.78,396.5,396.6,1059
28/02/2025 18:40,396.6,396.78,396.6,396.65,426
28/02/2025 18:35,396.66,396.78,396.5,396.6008,1423
28/02/2025 18:30,396.63,396.78,396.5,396.58,1617
28/02/2025 18:25,396.74,396.78,396.63,396.7,1946
28/02/2025 18:20,396.78,396.78,396.63,396.74,1696
28/02/2025 18:15,396.75,396.88,396.63,396.755,167
28/02/2025 18:10,396.7,396.88,396.5,396.79,450
28/02/2025 18:05,396.65,396.88,396.5,396.79,370
28/02/2025 18:00,396.95,396.95,396.5,396.73,651
28/02/2025 17:55,396.7,396.9388,396.5,396.9388,700
28/02/2025 17:50,396.7,396.9,396.5,396.5,319
28/02/2025 17:45,396.648,396.95,396.5,396.79,540
28/02/2025 17:40,396.76,396.95,396.5,396.9388,303
28/02/2025 17:35,396.805,396.95,396.72,396.76,766
28/02/2025 17:30,396.65,396.95,396.5,396.81,1404
28/02/2025 17:25,396.72,396.95,396.5,396.65,574
28/02/2025 17:20,396.72,401.9548,372.5619,396.72,1658
28/02/2025 17:15,396.725,414.6998,369.3664,369.3664,1977
28/02/2025 17:10,396.5,417.4114,371.515,396.88,7488
28/02/2025 17:05,396.92,417.4114,372.5619,396.94,6981
28/02/2025 17:00,396.79,396.96,371.515,389.6982,6232
28/02/2025 16:55,396.54,408.85,374.5025,396.96,49552
28/02/2025 16:50,396.54,396.78,396.25,396.3,1666
28/02/2025 16:45,396.475,396.78,396.2632,396.49,5080
28/02/2025 16:40,396.47,396.65,396.3,396.34,1609
28/02/2025 16:35,396.49,397.0039,396.26,396.6315,412967
28/02/2025 16:30,396.26,396.99,396.26,396.32,119276
28/02/2025 16:25,396.36,397.0337,396.26,396.2615,116250
28/02/2025 16:20,396.35,397.0376,396.25,396.4,4856
28/02/2025 16:15,396.99,396.99,396.25,396.25,198135
28/02/2025 16:10,396.465,396.99,394.9041,396.3912,23547
28/02/2025 16:05,396.3,396.99,395.85,396.37,622561
28/02/2025 16:00,397.03,404.735,396.11,396.255,21260925
28/02/2025 15:55,396.09,397.63,396.05,397.1425,2057284
28/02/2025 15:50,393.615,396.36,393.52,396.06,1096406
28/02/2025 15:45,393.015,393.7,392.86,393.569,217298
28/02/2025 15:40,392.53,393.29,392.52,392.9896,194644
28/02/2025 15:35,391.98,392.6948,391.57,392.54,140748
28/02/2025 15:30,393.07,393.07,391.935,391.98,151697
28/02/2025 15:25,392.15,393.15,392.115,393.07,173377
28/02/2025 15:20,392.2,392.375,391.77,392.15,151969
28/02/2025 15:15,392.34,392.55,392.06,392.24,134625
28/02/2025 15:10,392.49,392.59,392.06,392.38,268030
28/02/2025 15:05,392.595,392.6,392.15,392.4603,117033
28/02/2025 15:00,392.41,392.635,392.06,392.595,139365
28/02/2025 14:55,392.08,392.5,391.94,392.4,76602
28/02/2025 14:50,392.315,392.5,391.72,392.05,129085
28/02/2025 14:45,392.05,392.5,391.94,392.29,140920
28/02/2025 14:40,391.82,392.1992,391.7,391.99,606500
28/02/2025 14:35,391.315,392.03,391.045,391.8,127502
28/02/2025 14:30,390.855,391.5136,390.5676,391.2723,210037
28/02/2025 14:25,390.98,391.25,390.67,390.86,93261
28/02/2025 14:20,391.05,391.1586,390.24,390.945,493184
28/02/2025 14:15,390.065,391.1599,390.065,391.07,129522
28/02/2025 14:10,390.22,390.3278,389.9,390.07,75856
28/02/2025 14:05,390.005,390.33,389.95,390.225,95983
28/02/2025 14:00,389.655,390.55,389.58,390.025,105199
28/02/2025 13:55,391.045,391.0899,389.69,389.69,143483
28/02/2025 13:50,391.18,391.47,390.905,390.97,99014
28/02/2025 13:45,391.7,391.77,390.98,391.18,69217
28/02/2025 13:40,391.65,392.0481,391.17,391.64,128594
28/02/2025 13:35,391.64,391.98,391.4723,391.65,119679
28/02/2025 13:30,391.23,391.75,390.9118,391.67,178713
28/02/2025 13:25,389.63,391.37,389.55,391.2899,201148
28/02/2025 13:20,389.605,389.97,389.36,389.605,133706
28/02/2025 13:15,390.43,390.74,389.45,389.54,191487
28/02/2025 13:10,390.26,390.5,390,390.38,110676
28/02/2025 13:05,390.55,390.72,390.09,390.26,94659
28/02/2025 13:00,390.285,391,390.205,390.58,105360
28/02/2025 12:55,391.03,391.05,390.21,390.255,140702
28/02/2025 12:50,390.615,391.2612,390.58,391.04,184569
28/02/2025 12:45,390.815,391.07,390.64,390.64,180235
28/02/2025 12:40,391.47,391.49,390.63,390.87,186790
28/02/2025 12:35,391.51,391.66,391.115,391.47,622033
28/02/2025 12:30,391.805,391.85,391.32,391.47,97233
28/02/2025 12:25,391.6,391.98,391.55,391.85,79382
28/02/2025 12:20,392.26,392.41,391.15,391.6,142374
28/02/2025 12:15,391.89,392.46,391.72,392.3,147601
28/02/2025 12:10,391.12,392,391.0301,391.9,111322
28/02/2025 12:05,391.12,391.32,390.87,391.1268,101813
28/02/2025 12:00,391.5,391.83,390.135,391.145,158193
28/02/2025 11:55,391.815,391.82,391.4,391.55,78464
28/02/2025 11:50,391.92,391.9499,391.3101,391.7415,83949
28/02/2025 11:45,391.47,392.03,391.17,391.875,153167
28/02/2025 11:40,390.995,391.6899,390.9,391.47,96388
